text,label
Prime Minister plans hidden agreement with foreign country,fake
Police confirms secret economic deal,fake
Election Commission plans hidden agreement with foreign country,fake
Police hides secret economic deal,fake
Election Commission bans rigged election results,fake
Government leaks secret economic deal,fake
Government leaks new law overnight,fake
Election Commission confirms secret economic deal,fake
Police leaks rigged election results,fake
Government plans hidden agreement with foreign country,fake
Election Commission hides hidden agreement with foreign country,fake
Police leaks hidden agreement with foreign country,fake
Police hides mass surveillance program,fake
Supreme Court leaks nationwide internet shutdown,fake
Supreme Court secretly approves secret economic deal,fake
Army bans mass surveillance program,fake
Army confirms mass surveillance program,fake
Police hides nationwide internet shutdown,fake
Supreme Court plans rigged election results,fake
Army confirms hidden agreement with foreign country,fake
Police confirms new law overnight,fake
Prime Minister plans new law overnight,fake
Army hides hidden agreement with foreign country,fake
Police plans rigged election results,fake
Election Commission hides nationwide internet shutdown,fake
Police leaks new law overnight,fake
Supreme Court leaks hidden agreement with foreign country,fake
Supreme Court secretly approves new law overnight,fake
Government bans new law overnight,fake
Government secretly approves rigged election results,fake
Army secretly approves new law overnight,fake
Supreme Court leaks mass surveillance program,fake
Government bans secret economic deal,fake
Army bans hidden agreement with foreign country,fake
Election Commission confirms new law overnight,fake
Prime Minister confirms hidden agreement with foreign country,fake
Government confirms secret economic deal,fake
Supreme Court hides mass surveillance program,fake
Election Commission plans new law overnight,fake
Government hides mass surveillance program,fake
Election Commission secretly approves rigged election results,fake
Army confirms new law overnight,fake
Supreme Court secretly approves mass surveillance program,fake
Government hides rigged election results,fake
Government confirms rigged election results,fake
Army secretly approves hidden agreement with foreign country,fake
Supreme Court confirms secret economic deal,fake
Supreme Court bans mass surveillance program,fake
Supreme Court confirms mass surveillance program,fake
Army bans secret economic deal,fake
Police confirms rigged election results,fake
Police leaks nationwide internet shutdown,fake
Election Commission plans secret economic deal,fake
Prime Minister leaks secret economic deal,fake
Police confirms hidden agreement with foreign country,fake
Government confirms new law overnight,fake
Army leaks nationwide internet shutdown,fake
Police bans secret economic deal,fake
Supreme Court bans nationwide internet shutdown,fake
Prime Minister secretly approves hidden agreement with foreign country,fake
Army hides nationwide internet shutdown,fake
Supreme Court bans secret economic deal,fake
Election Commission confirms hidden agreement with foreign country,fake
Government leaks nationwide internet shutdown,fake
Police secretly approves nationwide internet shutdown,fake
Supreme Court plans secret economic deal,fake
Prime Minister leaks rigged election results,fake
Election Commission secretly approves nationwide internet shutdown,fake
Election Commission leaks secret economic deal,fake
Police plans mass surveillance program,fake
Election Commission secretly approves secret economic deal,fake
Army hides new law overnight,fake
Prime Minister secretly approves mass surveillance program,fake
Prime Minister leaks mass surveillance program,fake
Supreme Court hides hidden agreement with foreign country,fake
Police bans hidden agreement with foreign country,fake
Prime Minister hides secret economic deal,fake
Government bans mass surveillance program,fake
Election Commission confirms nationwide internet shutdown,fake
Army confirms nationwide internet shutdown,fake
Supreme Court hides nationwide internet shutdown,fake
Army plans new law overnight,fake
Supreme Court leaks secret economic deal,fake
Army bans new law overnight,fake
Prime Minister bans hidden agreement with foreign country,fake
Government hides secret economic deal,fake
Police hides new law overnight,fake
Government secretly approves mass surveillance program,fake
Prime Minister leaks hidden agreement with foreign country,fake
Government confirms hidden agreement with foreign country,fake
Prime Minister hides hidden agreement with foreign country,fake
Government plans secret economic deal,fake
Election Commission secretly approves new law overnight,fake
Army secretly approves rigged election results,fake
Army leaks mass surveillance program,fake
Army leaks rigged election results,fake
Election Commission leaks new law overnight,fake
Prime Minister confirms new law overnight,fake
Prime Minister confirms rigged election results,fake
Prime Minister secretly approves nationwide internet shutdown,fake
Supreme Court bans new law overnight,fake
Prime Minister secretly approves secret economic deal,fake
Government hides nationwide internet shutdown,fake
Election Commission hides new law overnight,fake
Police confirms nationwide internet shutdown,fake
Supreme Court confirms rigged election results,fake
Police secretly approves rigged election results,fake
Police leaks secret economic deal,fake
Election Commission confirms rigged election results,fake
Government plans new law overnight,fake
Government secretly approves nationwide internet shutdown,fake
Government secretly approves secret economic deal,fake
Supreme Court secretly approves rigged election results,fake
Election Commission bans nationwide internet shutdown,fake
Prime Minister plans nationwide internet shutdown,fake
Supreme Court hides new law overnight,fake
Supreme Court plans mass surveillance program,fake
Supreme Court confirms nationwide internet shutdown,fake
Army bans rigged election results,fake
Prime Minister plans rigged election results,fake
Supreme Court plans nationwide internet shutdown,fake
Army secretly approves secret economic deal,fake
Army leaks new law overnight,fake
Government leaks rigged election results,fake
Supreme Court bans hidden agreement with foreign country,fake
Prime Minister bans rigged election results,fake
Election Commission leaks hidden agreement with foreign country,fake
Government bans hidden agreement with foreign country,fake
Government plans mass surveillance program,fake
Supreme Court plans hidden agreement with foreign country,fake
Supreme Court confirms new law overnight,fake
Government bans nationwide internet shutdown,fake
Government secretly approves new law overnight,fake
Government confirms nationwide internet shutdown,fake
Army leaks hidden agreement with foreign country,fake
Supreme Court hides rigged election results,fake
Election Commission secretly approves hidden agreement with foreign country,fake
Army hides rigged election results,fake
Army confirms rigged election results,fake
Election Commission hides rigged election results,fake
Police bans rigged election results,fake
Prime Minister plans secret economic deal,fake
Prime Minister bans secret economic deal,fake
Prime Minister bans nationwide internet shutdown,fake
Army plans hidden agreement with foreign country,fake
Police bans nationwide internet shutdown,fake
Supreme Court hides secret economic deal,fake
Supreme Court leaks rigged election results,fake
Election Commission confirms mass surveillance program,fake
Police hides hidden agreement with foreign country,fake
Police bans new law overnight,fake
Government hides hidden agreement with foreign country,fake
Supreme Court plans new law overnight,fake
Government leaks hidden agreement with foreign country,fake
Prime Minister bans mass surveillance program,fake
Election Commission hides secret economic deal,fake
Police plans nationwide internet shutdown,fake
Prime Minister hides new law overnight,fake
Government confirms mass surveillance program,fake
Government plans nationwide internet shutdown,fake
Government plans rigged election results,fake
Election Commission leaks rigged election results,fake
Supreme Court secretly approves nationwide internet shutdown,fake
Police confirms mass surveillance program,fake
Election Commission bans secret economic deal,fake
Prime Minister confirms nationwide internet shutdown,fake
Army plans nationwide internet shutdown,fake
Prime Minister confirms secret economic deal,fake
Government bans rigged election results,fake
Police secretly approves new law overnight,fake
Army leaks secret economic deal,fake
Police hides rigged election results,fake
Election Commission bans hidden agreement with foreign country,fake
Army hides secret economic deal,fake
Prime Minister confirms mass surveillance program,fake
Prime Minister plans mass surveillance program,fake
Election Commission plans rigged election results,fake
Prime Minister hides mass surveillance program,fake
Election Commission bans new law overnight,fake
Supreme Court secretly approves hidden agreement with foreign country,fake
Army secretly approves mass surveillance program,fake
Army plans rigged election results,fake
Prime Minister hides nationwide internet shutdown,fake
Election Commission plans mass surveillance program,fake
Election Commission leaks mass surveillance program,fake
Police secretly approves mass surveillance program,fake
Army hides mass surveillance program,fake
